symbol,exchange,rows,days,median_snapshot_interval_ms,mean_spread,mean_depth_top10,first_timestamp,last_timestamp,source_audit_artifact,notes
BTC-USDT,BINANCE,167753156,366,100.000256,0.02827245537695042,9.906424603591095,2024-01-01T00:00:03.168000+00:00,2024-12-31T23:59:58.916000+00:00,D:/LOBProj/DeepLOB/CryptoRegimeShift/outputs/tables/table_data_audit_stage_3_full_scale.csv,stage audit snapshots; feature/label rows may be lower after horizon/drop
ETH-USDT,BINANCE,114416283,366,200.0,0.010777879272246573,105.15722734420027,2024-01-01T00:00:02.968000+00:00,2024-12-31T23:59:58.916000+00:00,D:/LOBProj/DeepLOB/CryptoRegimeShift/outputs/tables/table_data_audit_stage3_eth_usdt.csv,stage audit snapshots; ETH conversion rows=114416570; feature/label rows=114414433 after horizon/drop
